Category	Icon	Colour	Name	Source type	Source name	Overview pin	Zones	Requirements	Requires flying?	Added in	Projected popularity	Comments	Pins	Areas	See also
Cloth	Frostweave Cloth	#6d9eeb													
			Bolt of Frostweave												
				Crafted	Bolt of Frostweave	~	~	Tailoring	FALSE	Phase 1	0	5 Frostweave Cloth per Bolt			Cloth, Frostweave Cloth
			Bolt of Imbued Frostweave												
				Crafted	Bolt of Imbued Frostweave	~	~	Tailoring	FALSE	Phase 1	0	2 Bolts of Frostweave, 2 Infinite Dust per Imbued Bolt			Cloth, Bolt of Frostweave; Enchanting, Infinite Dust
			Ebonweave												
				Crafted	Ebonweave	44.76, 52.03	Dragonblight	Tailoring	FALSE	Phase 1	0	4 day cooldown. Requires the Obsidian Dragonshrine. Specialised tailors again make two instead of one. Shadoweave Tailors are automatically grandfathered into Ebonweave!	38.43, 32.68		
			Eternium Thread												
				Sold	Any Tailoring supplier	~	~	~	FALSE	Phase 1	0	Any supplier will provide you with this. Don't you think it's weird that every tailor, some of whom never left Northrend, quickly adapted to using threads made of a metal that only occurs in Outland?			
			Frostweave Cloth												
				Drop	Virtually any humanoid / undead in Northrend	~	Any	~	FALSE	Phase 1	0	Pick any target you can comfortably kill and go to town. Highly skilled Tailors can learn to scavenge significantly more cloth when they loot a monster.			
				Fished	Reinforced Crate	~	Any	Fishing	FALSE	Phase 1	2	Comes from any swarm of fish, ironically enough. Has an average of 5 Cloth 11% of the time.			
				Container	Abandoned Adventurer's Satchel	~	Any	~	FALSE	Phase 1	4	Guaranteed drop from any rare mob which seems to always contain a 20 stack of cloth. Decent enough, but they're by definition hard to find and can be quite tough.			
			Iceweb Spider Silk												
				Drop	Dread Creeper, Venom Stalker, Carrion Spinner	58.22, 58.22	Naxxramas	Group	FALSE	Phase 1	0	Just as they obsoleted silk demand in Classic so do I expect will they do again. Your guild will likely provide these freely.	87.13, 51.25		
				Drop	Trapdoor Crawler	65.23, 42.31	Zul'Drak	~	FALSE	Phase 1	1	In contrast to the Trapdoor Ambusher to the south, not relevant to any quest, can freely be spawned, and is only an annoyance to average people.		35.0, 47.60; 35.0, 57.6; 39.0, 57.6; 39.0, 47.6	
				Drop	Crystalweb Spiders	57.34, 36.01	Storm Peaks	~	FALSE	Phase 1	1	Relevant to one quest, but plentiful.		40.6, 74.4; 46.6, 73.4; 40.6, 77.4; 40.2, 75.6	
				Drop	Trapdoor Ambusher	67.20, 49.89	Zul'Drak	Quest	FALSE	Phase 1	3	Only spawn by interacting during the daily quest Troll Patrol: Can You Dig It?, and messing around for long ruins your time for the meta-daily.		44.6, 83.4; 51.0, 86.8; 46.8, 80.2; 45.0, 81.6	
			Moonshroud												
				Crafted	Moonshroud	51.76, 64.58	Dragonblight	Tailoring	FALSE	Phase 1	0	4 day cooldown. Requires the Emerald Dragonshrine. Specialised tailors again make two instead of one. Mooncloth Tailors are automatically grandfathered into Moonshroud!	63.67, 73.18		
			Spellweave												
				Crafted	Spellweave	48.70, 63.18	Dragonblight	Tailoring	FALSE	Phase 1	0	4 day cooldown. Requires the Azure Dragonshrine. Specialised tailors again make two instead of one. Spellfire Tailors are automatically grandfathered into Spellweave!	55.30, 65.83		
Elemental	Crystallized Fire	#FF0000													
			Crystallized Air												
				Drop	Enraged Tempest	20.07, 52.54	Borean Tundra	~	FALSE	Phase 1	1	Hyperspawn, compact, easy to kill, give movement speed buff on kill. What's not to like.		42.0 8.2; 45.4 6.8; 46.0 7.4; 46.0 10.6; 44.4 11.6; 42.2 9.8	
				Drop	Scion of Storm	65.23, 21.42	Storm Peaks	~	TRUE	Phase 1	2	Though quest-relevant, there are dozens of these in a tiny cave including a literal shooting gallery. Their sheer quality makes up for a 25% chance of 1-2 Airs		64.2 42.2; 67.2 40.0; 69.6 41.6; 67.8 44.6; 64.6 44.2	
				Drop	Stormrider	52.51, 24.67	Storm Peaks	~	TRUE	Phase 1	1	Large area with mobs just about in range of each other. Less compact than Scion of Storm but also plentiful.		25.6 37.6; 28.2 43.4; 29.0 48.4; 32.0 47.2; 32.0 47.2; 31.6 49.6; 28.6 51.0; 24.4 39.4	
				Drop	Tempest Revenant	39.79, 52.85	Lake Wintergrasp	~	FALSE	Phase 1	4	Only visible if your faction holds Wintergrasp. Drop rates are pretty bad, plus they are in a mandatory PvP zone and pack a good punch.		61.0 83.6; 63.0 73.8; 74.4 73.8; 78.6 85.6; 63.0 86.4|27.6 69.0; 42.6 70.0; 45.0 82.6	
				Drop	Altar Warden	74.34, 43.15	Zul'Drak	~	FALSE	Phase 1	3	With a little questing, you can turn all mobs here neutral. But there aren't many of these and the quest often requires a full clear, leading to high contention.		68.6 56.6; 69.6 54.8; 77.6 54.8; 77.0 63.2; 73.8 63.0; 69.6 62.2; 68.8 60.6	
				Drop	Ionar	58.56, 14.28	Halls of Lightning	Group	TRUE	Phase 1	0	Deep in the dungeon, but has a high chance to drop 6-9 Airs.	61.4, 77.4		
